2025-03-18 17:31:38.715 [restartedMain] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2025-03-18 17:31:38.905 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2025-03-18 17:31:38.932 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-03-18 17:31:38.952 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2025-03-18 17:31:38.959 [restartedMain] INFO  com.cow.horse.BackendApplication - Started BackendApplication in 4.849 seconds (JVM running for 5.739)
2025-03-18 17:31:38.961 [restartedMain] INFO  com.cow.horse.BackendApplication - =====================项目后端启动成功============================
2025-03-18 17:34:07.270 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-03-18 17:34:07.270 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-03-18 17:34:07.271 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2025-03-18 17:34:16.137 [restartedMain] INFO  com.cow.horse.BackendApplication - Starting BackendApplication using Java 1.8.0_261 on DESKTOP-9CD04US with PID 9136 (S:\TestProject\统计\36-springboot+vue旅游管理系统(带文档)\源码+数据库\backend-Api\target\classes started by FUCHI in S:\TestProject\统计\36-springboot+vue旅游管理系统(带文档)\源码+数据库\backend-Api)
2025-03-18 17:34:16.140 [restartedMain] INFO  com.cow.horse.BackendApplication - The following profiles are active: dev
2025-03-18 17:34:16.202 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2025-03-18 17:34:16.202 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2025-03-18 17:34:16.731 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2025-03-18 17:34:16.733 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2025-03-18 17:34:16.757 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 14 ms. Found 0 Redis repository interfaces.
2025-03-18 17:34:17.194 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
